artist,album,play_count
Miranda Lambert,The Weight of These Wings,693
Miranda Lambert,Platinum,289
Dean Martin,Dino: The Essential Dean Martin,275
Explosions in the Sky,The Wilderness,140
Explosions in the Sky,Manglehorn (Original Motion Picture Soundtrack),138
Amos Lee,Spirit,126
Norah Jones,Come Away with Me,109
Michael Bublé,Christmas (Deluxe Special Edition),89
Michael Bublé,Christmas,88
Joshua Radin,Simple Times,85
Vince Guaraldi Trio,A Charlie Brown Christmas (Remastered & Expanded Edition),83
Norah Jones,Feels Like Home,83
Deb Talan,A Bird Flies Out,74
Miranda Lambert,Revolution,67
Patty Griffin,Servant of Love,67
Explosions in the Sky,The Earth Is Not a Cold Dead Place,67
Jack Johnson,In Between Dreams,66
Deb Talan,Lucky Girl,66
Amos Lee,Supply And Demand,63
Pink Martini,Hang On Little Tomato,62
Amos Lee,Amos Lee,61
The Weepies,Sirens,61
Explosions in the Sky,"Take Care, Take Care, Take Care",61
Explosions in the Sky,All of a Sudden I Miss Everyone,59
Joshua Radin,We Were Here,59
Jack Johnson,From Here To Now To You,58
Green Day,Nimrod,58
Julie London,Julie Is Her Name,52
Explosions in the Sky,"How Strange, Innocence",50
Miranda Lambert,Platinum Spotify Commentary,50
Dave Brubeck,A Dave Brubeck Christmas,49
Steve Jablonsky,Lone Survivor (Original Motion Picture Soundtrack),49
"Harry Connick, Jr.",What A Night! A Christmas Album,49
Miranda Lambert,Four the Record,48
Pink Martini,Splendor in the Grass,48
Ella Fitzgerald,Ella Wishes You A Swinging Christmas (Expanded Edition),47
Madeleine Peyroux,Half The Perfect World,47
Billy Currington,Summer Forever,47
Red Hot Chili Peppers,Greatest Hits,45
Explosions in the Sky,"Those Who Tell the Truth Shall Die, Those Who Tell the Truth Shall Live Forever",44
Miranda Lambert,Crazy Ex-Girlfriend,43
Ingrid Michaelson,Be OK,42
Bing Crosby,Bing Crosby - Christmas Classics,42
Florida Georgia Line,Dig Your Roots,42
Pink Martini,Sympathique,41
The Holiday Guitar Ensemble,Christmas Guitar by the Fire,40
Emilie-Claire Barlow,Seule ce soir,40
Natalie Merchant,Tigerlily,40
Ella Fitzgerald,Ella & Friends,39
Maren Morris,Hero (Deluxe Edition),38
Amos Lee,Mission Bell,38
The Weepies,Say I Am You,38
Julie London,Easy Does It,37
Madeleine Peyroux,Careless Love,33
Michael Bublé,Crazy Love (Hollywood Edition),33
Pink Martini,Je Dis Oui!,33
Miranda Lambert,Kerosene,33
Frank Sinatra,The Best of the Capitol Years,33
Griffin House,Flying Upside Down,32
Jack Johnson,Sleep Through The Static,32
Nat King Cole,Unforgettable,32
Brandi Carlile,Bear Creek,31
Ella Fitzgerald,Ella & Louis Christmas,31
Norah Jones,Not Too Late,31
Diana Krall,Turn Up The Quiet,31
Etta James,At Last!,30
Green Day,Warning,30
Dean Martin,At The Movies,29
Norah Jones,Day Breaks,29
Jack Johnson,On and On,29
Ella Fitzgerald,Ella and Louis,28
Marty Robbins,Gunfighter Ballads and Trail Songs,28
Frank Sinatra & Count Basie,It Might as Well Be Swing,28
Amos Lee,Live At Red Rocks (with the Colorado Symphony),28
Jack Johnson,Sing-A-Longs and Lullabies For The Film Curious George,28
Deb Talan,Something Burning,28
Brandi Carlile,The Story,28
Jack Johnson,All the Light Above It Too,27
Chet Baker,Chet Baker Sings,27
Ingrid Michaelson,Girls and Boys,27
Joe Pass,Joe Pass - Six String Santa,27
Death Cab for Cutie,Plans,27
Madeleine Peyroux,Secular Hymns,27
Dean Martin,This Is Dean Martin,27
Ray LaMontagne,Trouble,27
Duke Ellington,An Intimate Piano Session,26
Florida Georgia Line,Anything Goes,26
Ingrid Michaelson,Everybody,26
The Weepies,Hideaway,26
Melody Gardot,My One And Only Thrill,26
Stacey Kent,Breakfast On The Morning Tram,25
Michael Bublé,Crazy Love,25
Brandi Carlile,The Firewatcher's Daughter,25
Diana Krall,Wallflower (Deluxe Edition),25
Tony Bennett,Duets II,24
Brandi Carlile,Give Up The Ghost,24
Gotan Project,La Revancha Del Tango,24
Brad Paisley,Love And War,24
Sarah Vaughan,Sarah Vaughan In Hi-Fi,24
The Weepies,Be My Thrill,23
Norah Jones,The Fall,23
